name,country
Vancouver,Canada
Port Alberni,Canada
Butedale,Canada
Goose Bay,Canada
Alliford Bay,Canada
Ottawa,Canada
Botwood,Canada
Port Moody,Canada
Port Elgin,Canada
Port Colborne,Canada
St Anthony,Canada
Sept Iles,Canada
Beauharnois,Canada
St Anicet,Canada
St John,Canada
Port Coquitlam,Canada
Thessalon,Canada
St Zotique,Canada
Pangnirtung,Canada
Kingston,Canada
Ucluelet,Canada
Toronto,Canada
St Andrews East,Canada
Westview,Canada
South Lancaster,Canada
Papineauville,Canada
Sointula,Canada
Liverpool,Canada
Wolfe Island,Canada
Contrecour,Canada
Pelee I West Dock,Canada
Port De Becancour,Canada
Springdale,Canada
Churchill,Canada
Carmanville,Canada
Bergh Cove,Canada
Baie Verte,Canada
Holyrood,Canada
Port Weller,Canada
Harbour Breton,Canada
Welland,Canada
Trois Rivieres,Canada
Point Edward,Canada
Windsor,Canada
Bay Roberts,Canada
Pond Inlet,Canada
Rockland,Canada
Heron Bay,Canada
Sorel,Canada
Roddickton,Canada
Sombra,Canada
Mingan Harbor,Canada
Great Jervis Harbor,Canada
Shediac Harbor,Canada
Cap des Mechins,Canada
Sheet Harbor,Canada
Godbout,Canada
Ile du Cap aux Meules,Canada
Newport,Canada
Natashquan,Canada
Rockport,Canada
St Anns Harbour,Canada
Whycocomagh,Canada
Riverport,Canada
Lunenburg Harbour,Canada
Tadoussac,Canada
Richards Landing,Canada
Duncan Bay,Canada
Dalhousie,Canada
Port Hood,Canada
Rondeau,Canada
Montreal,Canada
Southampton,Canada
Port Hastings,Canada
Port Simpson,Canada
Wiarton,Canada
Thurso,Canada
Cardinal,Canada
Gananoque,Canada
Gaspe,Canada
Batchawana Bay,Canada
Port Alice,Canada
Brockville,Canada
Stormont,Canada
Port Mcnicoll,Canada
Quebec,Canada
Tobermory,Canada
Port Union,Canada
Thunder Bay,Canada
Port Mcneill,Canada
Miramichi,Canada
Caraquet,Canada
Dingwall Harbor,Canada
Baddeck Harbour,Canada
Shelburne Harbour,Canada
St Simeon,Canada
Havre Aubert,Canada
Pugwash Harbour,Canada
Halifax,Canada
Portneuf,Canada
Baie des Escoumins,Canada
Arichat Harbour,Canada
Port Menier,Canada
Pointe des Roches,Canada
Souris Harbour,Canada
Chandler,Canada
Old Ferolle Harbor,Canada
St. Barbe Harbor,Canada
Port Saunders,Canada
Belledune Harbor,Canada
Lockeport Harbor,Canada
Bella Bella,Canada
Grand Narrows,Canada
Richibucto Harbor,Canada
Cowichan Bay,Canada
Hope Bay,Canada
Bamberton,Canada
Gold River,Canada
Port de Valleyfield,Canada
Crawley Creek,Canada
Havre de la Grande Entree,Canada
La Malbaie,Canada
Ile du Gros Cacouna,Canada
Crofton,Canada
Leamington,Canada
Goldsboro,Canada
Klemtu,Canada
Coteau Landing,Canada
Bathurst Harbour,Canada
Yarmouth Harbor,Canada
Hawkes Habor,Canada
Little Bras D Or,Canada
Grand Bank,Canada
North Sydney,Canada
Carillon,Canada
Chute A Blondeau,Canada
Matane,Canada
Corner Brook,Canada
Hawkesbury,Canada
Douglastown,Canada
Clayoquot,Canada
Parry Sound,Canada
Mission City,Canada
Lyall Harbor,Canada
Alert Bay,Canada
Bella Coola,Canada
Fassett,Canada
Kitimat,Canada
St Catherine,Canada
Shippegan,Canada
Vaudreuil,Canada
Quebec Harbour,Canada
Sonora,Canada
Baie Comeau,Canada
Niagara,Canada
Chicoutimi,Canada
Bronte,Canada
Meldrum Bay,Canada
Gore Bay,Canada
Kagawong,Canada
Little Current,Canada
Killarney,Canada
Key Harbour,Canada
Byng Inlet,Canada
Midland,Canada
Collingwood,Canada
Meaford,Canada
Goderich,Canada
Courtright,Canada
Thorold,Canada
Trenton,Canada
Port Maitland,Canada
Pictou,Canada
Port Dover,Canada
Stewart,Canada
Hamilton,Canada
Belleville,Canada
Sault Ste Marie,Canada
Port Aux Basques,Canada
Cumberland,Canada
Riviere Du Loup,Canada
Port Hope,Canada
Sarnia,Canada
Pelee I North Wharf,Canada
Porpoise Harbor,Canada
Oshawa,Canada
Port Clements,Canada
Port Severn,Canada
Millhaven,Canada
Goulais Bay,Canada
Gargantua,Canada
Oakville,Canada
Port Stanley,Canada
Amherstburg,Canada
Depot Harbour,Canada
Manitowaning,Canada
Port Dalhousie,Canada
Pointe Noire,Canada
Kingsville,Canada
Bay Bulls,Canada
Hudson,Canada
Grenville,Canada
Havre St Pierre,Canada
Masson,Canada
Long Harbour,Canada
Fortune,Canada
Burgeo,Canada
Arnold's Cove,Canada
Waubaushene,Canada
Marystown,Canada
Steveston,Canada
Placentia Bay,Canada
Blind River,Canada
Oka Sur Le Lac,Canada
Gatineau,Canada
Hull,Canada
Cobourg,Canada
Clarkson,Canada
Lions Head,Canada
Honora,Canada
Cockburn,Canada
Catalina Harbor,Canada
Come By Chance Harbor,Canada
Montebello,Canada
Bruce Mines,Canada
Sheguiandah,Canada
Port Cartier,Canada
Port San Juan,Canada
Comox Harbor,Canada
Stephenville,Canada
Michipicoten,Canada
Penetanguishene,Canada
Padloping Island,Canada
Queen Charlotte,Canada
Argentia,Canada
Fraser Mills,Canada
Long Pond,Canada
Thornbury,Canada
Windsor,Canada
Musquodoboit Harbour,Canada
Blanc Sablon,Canada
Rimouski,Canada
La Baie,Canada
Summerside,Canada
Masset Harbor,Canada
Coal Harbor,Canada
Kemano Bay,Canada
Louisbourg,Canada
New Westminster,Canada
Canaport,Canada
Hilton,Canada
Port Hawkesbury,Canada
Desbarats,Canada
Picton,Canada
St George's,Canada
Queenston,Canada
Owen Sound,Canada
Port Bayside Nb,Canada
Tahsis,Canada
Tiffin,Canada
Clarenville,Canada
Digby,Canada
Walpole Island,Canada
Charlottetown,Canada
Georgetown,Canada
Sidney,Canada
Port Whitby,Canada
Prince Rupert,Canada
Goto Oil Terminal,Caribbean Netherlands
Salina,Caribbean Netherlands
Oranjestad,Caribbean Netherlands
Kralendijk,Caribbean Netherlands
Cayman Brac,Cayman Islands
Georgetown,Cayman Islands
Puerto Natales,Chile
Puerto Castro,Chile
Lota,Chile
Puerto Sara,Chile
Tocopilla,Chile
Puerto Yartou,Chile
Bahia Agua Fresca,Chile
Bahia Harris,Chile
Caleta Clarencia,Chile
Huasco,Chile
Puerto Caldera,Chile
Bahia Herradura Guayacan,Chile
Puerto Chacabuco,Chile
Puerto Montt,Chile
Puerto Chanaral,Chile
Bahia San Vicente,Chile
Puerto Calderilla,Chile
Lirquen,Chile
Port San Juan De La Juan,Chile
Coquimbo,Chile
Antofagasta,Chile
Iquique,Chile
Rada De Arica,Chile
Caleta Mina Elena,Chile
Penco,Chile
Caleta Patillos,Chile
Taltal,Chile
Coronel,Chile
Puerto Quemchi,Chile
Puerto San Antonio,Chile
Talcahuano,Chile
Mejillones,Chile
Bahia Quintero,Chile
Puerto De Corral,Chile
Bahia De Valdivia,Chile
Rada Punta Arenas,Chile
Punta Delgada,Chile
Puerto Williams,Chile
Bahia De Valparaiso,Chile
Lon Shui Terminal,China
Weihai,China
Haikou,China
Yangpu,China
Changshu,China
Nantong,China
Tangshan,China
Huangpu,China
Penglai,China
Gaogang,China
Huludao Gang,China
Bayuquan,China
Jinzhou Wan,China
Wenzhou,China
Longkou Gang,China
Zhapu,China
Fuzhou,China
Yangzhou,China
Basuo,China
Qingdao Gang,China
Sanya,China
Nanjing,China
Huangpuxingang,China
Beihai,China
Dongshan,China
Tianjin Xin Gang,China
Shanghai,China
Lianyungang,China
Haimen,China
Wu Hu,China
Zhangjiangang,China
Suizhang Gang,China
Chiwan,China
Yingkou,China
Shan T Ou,China
Zhangzhou,China
Xiuyu,China
Quanzhou,China
Zhuhai,China
Shui Dong,China
Shekou,China
Qinzhou,China
Zhanjiang,China
Xiamen,China
Zhenjiang,China
Yantian,China
Taicang,China
Qinhuangdao,China
Zhoushan,China
Jiangyin,China
Changzhou,China
Dalian,China
Fang-Cheng,China
Lushun,China
Zhen Hai,China
Ningbo,China
Dagu Tanggu,China
Hankow,China
Chaozhou,China
Guangzhou,China
Huizhou,China
Ankingcheng,China
Yantai,China
Dandong,China
Rizhao,China
Lanshan,China
Flying Fish Cove,Christmas Island
Pozos Colorados,Colombia
Covenas Offshore Term.,Colombia
Buenaventura,Colombia
Cartagena,Colombia
Puerto Prodeco,Colombia
Covenas,Colombia
San Andres Island,Colombia
Barranquilla,Colombia
Turbo,Colombia
Santa Marta,Colombia
Mamonal,Colombia
Puerto Bolivar,Colombia
Tumaco,Colombia
El Bosque,Colombia
Dzaoudzi,Comoros
Fomboni,Comoros
Moroni,Comoros
Moutsamoudu,Comoros
Djeno Terminal,Congo (Brazzaville)
N'kossa Terminal,Congo (Brazzaville)
Pointe Noire,Congo (Brazzaville)
Yombo Terminal,Congo (Brazzaville)
Dussafu Terminal,Congo (Brazzaville)
Matadi,Congo (Kinshasa)
Boma,Congo (Kinshasa)
Banana,Congo (Kinshasa)
Avatiu,Cook Islands
Golfito,Costa Rica
Puntarenas,Costa Rica
Puerto Caldera,Costa Rica
Puerto Quepos,Costa Rica
Puerto Limon,Costa Rica
Puerto Moin,Costa Rica
Abidjan,Cote D'Ivoire
San Pedro,Cote D'Ivoire
Port Bouet,Cote D'Ivoire
Baobab Marine Terminal,Cote D'Ivoire
Espoir Marine Terminal,Cote D'Ivoire
Rijeka Luka,Croatia
Pula,Croatia
Omisalj,Croatia
Zaliv Rasa,Croatia
Ploce,Croatia
Korcula,Croatia
Sibenik,Croatia
Senj,Croatia
Dugi Rat,Croatia
Umag,Croatia
Split,Croatia
Rovinj,Croatia
Zadar,Croatia
Dubrovnik,Croatia
Bakar,Croatia
Brsica,Croatia
Nueva Gerona,Cuba
Antilla,Cuba
Matanzas,Cuba
Felton,Cuba
Bahai De La Habana,Cuba
Bahia De Sagua De Tanamo,Cuba
Cabanas,Cuba
Manzanillo,Cuba
Isabela De Sagua,Cuba
Mariel,Cuba
Cienfuegos,Cuba
Casilda,Cuba
Guayabal,Cuba
Palo Alto,Cuba
Santa Cruz del Sur,Cuba
Banes,Cuba
Preston,Cuba
Baracoa,Cuba
Cardenas,Cuba
Tunas De Zaza,Cuba
Cayo Moa Grande,Cuba
Bahia Honda,Cuba
Nuevitas Bay,Cuba
Vita,Cuba
Manati,Cuba
Ceiba Hueca,Cuba
Nicaro,Cuba
Puerto Guantanamo,Cuba
Puerto Padre,Cuba
Santiago De Cuba,Cuba
Jucaro,Cuba
Caibarien,Cuba
Santa Lucia,Cuba
Media Luna,Cuba
Willemstad,Curacao
Bullen Baai,Curacao
Caracasbaai,Curacao
Sint Michelsbaai,Curacao
Famagusta,Cyprus
Kyrenia,Cyprus
Larnaca,Cyprus
Xeros,Cyprus
Limassol,Cyprus
Dhekelia,Cyprus
Nekso,Denmark
Holstebro-Stuer,Denmark
Stigsnaesvaerket,Denmark
Ringkobing,Denmark
Skagen Havn,Denmark
Skaerbaek,Denmark
Hanstholm,Denmark
Thisted,Denmark
Helsingor,Denmark
Tuborg,Denmark
Rudkobing,Denmark
Kalundborg,Denmark
Bandholm,Denmark
Odense,Denmark
Arhus,Denmark
Christianso Harbor,Denmark
Hasle,Denmark
Koge,Denmark
Studstrup,Denmark
Sakskobing,Denmark
Nysted,Denmark
Horsens,Denmark
Ronne,Denmark
Abenra,Denmark
Augustenborg,Denmark
Nyborg,Denmark
Stege,Denmark
Vejle,Denmark
Esbjerg,Denmark
Middelfart,Denmark
Nykobing,Denmark
Assens,Denmark
Ensted,Denmark
Kolding,Denmark
Stubbekobing,Denmark
Hundested Havn,Denmark
Fakse Ladeplads Havn,Denmark
Hadsund,Denmark
Svendborg,Denmark
Mariager,Denmark
Marstal,Denmark
Hobro,Denmark
Hals,Denmark
Frederikshavn,Denmark
Lemvig,Denmark
Thyboron,Denmark
Aeroskobing,Denmark
Rodby Havn,Denmark
Hirtshals,Denmark
Vordingborg,Denmark
Skaelskor,Denmark
Frederiksvaerk,Denmark
Alborg,Denmark
Naestved,Denmark
Haderslev,Denmark
Kobenhavn,Denmark
Grenaa Havn,Denmark
Holbaek,Denmark
Randers,Denmark
Faborg,Denmark
Nakskov,Denmark
Frederikssund,Denmark
Nykobing,Denmark
Kyndbyvaerkets,Denmark
Korsor,Denmark
Fredericia,Denmark
Gulfhaven,Denmark
Sonderborg,Denmark
Kerteminde,Denmark
Djibouti,Djibouti
Doraleh,Djibouti
Portsmouth,Dominica
Roseau,Dominica
Puerto Botado,Dominican Republic
Amber Cove,Dominican Republic
San Pedro De Macoris,Dominican Republic
Punta Nizao Oil Terminal,Dominican Republic
Santo Domingo,Dominican Republic
Puerto Plata,Dominican Republic
Santa Cruz De Barahona,Dominican Republic
Puerto De Haina,Dominican Republic
Cabo Rojo,Dominican Republic
Manzanillo,Dominican Republic
La Romana,Dominican Republic
Pepillo Salcedo,Dominican Republic
Santa Barbara De Samana,Dominican Republic
Sanchez,Dominican Republic
Andres,Dominican Republic
Puerto Viejo De Azua,Dominican Republic
Las Calderas,Dominican Republic
Puerto Maritimo De Guayaquil,Ecuador
Guayaquil,Ecuador
Esmeraldas,Ecuador
Puerto Bolivar,Ecuador
Manta,Ecuador
La Libertad,Ecuador
Zeit Bay Lpg Terminal,Egypt
Sharm El Sheikh,Egypt
Ras Badran Oil Terminal,Egypt
Sokhna Port Gas Tanker Terminal,Egypt
Mersa Matruh,Egypt
El-Adabiya,Egypt
El Ghardaqa,Egypt
Ain Sukhna Terminal,Egypt
El Ismailiya,Egypt
Zafarana Terminal,Egypt
El Maadiya,Egypt
Ras Sudr,Egypt
Safaja,Egypt
Wadi Feiran,Egypt
Bur Sa'id,Egypt
Ras Abu Zanimah,Egypt
At Tur,Egypt
As Suways,Egypt
Hamrawein,Egypt
Al Iskandariyh,Egypt
Al Qusayr,Egypt
Nuwaybi',Egypt
Sidi Kerir,Egypt
Damietta,Egypt
North Ain Sukhna Port,Egypt
Marsa az Zaytiyah,Egypt
Abu Qir,Egypt
Ras Gharib,Egypt
Zeit Bay Terminal,Egypt
Ras Shukhier,Egypt
El Hamra Oil Terminal,Egypt
La Union,El Salvador
Acajutla Offshore Terminal,El Salvador
Acajutla,El Salvador
Malabo,Equatorial Guinea
Bata,Equatorial Guinea
Serpentina Terminal,Equatorial Guinea
Cogo,Equatorial Guinea
Ceiba Terminal,Equatorial Guinea
Luba,Equatorial Guinea
Punta Europa Terminal,Equatorial Guinea
Assab,Eritrea
Mitsiwa Harbor,Eritrea
Sillamae,Estonia
Paljassaare,Estonia
Paldiski Lounasadam,Estonia
Saaremaa sadam,Estonia
Osmussaar,Estonia
Roomassaare,Estonia
Meeruse,Estonia
Heltermaa,Estonia
Vene-Balti,Estonia
Kunda,Estonia
Loksa,Estonia
Bekkeri,Estonia
Paldiski Pohjasadam,Estonia
Miiduranna,Estonia
Muuga,Estonia
Virtsu,Estonia
Lahesuu,Estonia
Parnu,Estonia
Vanasadam,Estonia
Rohukula,Estonia
Stanley,Falkland Islands (Islas Malvinas)
Klaksvik,Faroe Islands
Sorvagur,Faroe Islands
Fuglafjordur,Faroe Islands
Kongshavn,Faroe Islands
Tvoroyri,Faroe Islands
Vestmanna,Faroe Islands
Torshavn,Faroe Islands
Runavik,Faroe Islands
Vagur,Faroe Islands
Pohnpei Harbor,Federated States of Micronesia
Moen,Federated States of Micronesia
Colonia,Federated States of Micronesia
Lele Harbor,Federated States of Micronesia
Lautoka Harbor,Fiji
Savusavu Bay,Fiji
Suva Harbor,Fiji
Levuka,Fiji
Malai,Fiji
Kotka,Finland
Pietarsaari,Finland
Kantlax,Finland
Naantali,Finland
Loviisa,Finland
Oulu,Finland
Tahkoluoto,Finland
Uusikaupunki,Finland
Hamina,Finland
Mantyluoto,Finland
Nykarleby,Finland
Hellnas,Finland
Vaasa,Finland
Kokkola,Finland
Raahe,Finland
Veitsiluoto,Finland
Porkkala,Finland
Rauma,Finland
Kaskinen,Finland
Signilskar,Finland
Tolkkinen,Finland
Pargas,Finland
Helsinki,Finland
Hanko,Finland
Himanka,Finland
Porvoo,Finland
Kristinestad,Finland
Mariehamn,Finland
Pori,Finland
Kemi,Finland
Inkoo,Finland
Jussaro,Finland
Rahja,Finland
Ekenas,Finland
Turku,Finland
Uto,Finland
Tornio,Finland
Bayonne,France
Nantes,France
Deauville,France
Bonifacio,France
Donges,France
Nice,France
Toulon,France
Villefranche,France
Concarneau,France
Le Treport,France
Blaye,France
Sete,France
Saint-Malo,France
Le Verdon,France
Porto Vecchio,France
Fos,France
Fecamp,France
Port Saint Louis Du Rhone,France
Port De Caen,France
Calais,France
Dieppe,France
Bordeaux,France
Saint-Valery-Sur-Somme,France
Calvi,France
Rouen,France
Bastia,France
Port De Roscoff-Bloscon,France
Antibes,France
Pontrieux,France
Lezardrieux,France
Tonnay Charente,France
La Pallice,France
La Rochelle,France
L'ile Rousse,France
Marseille,France
Rochefort,France
Gravelines,France
Montoir,France
Dunkerque Port Ouest,France
Morlaix,France
Saint-Raphael,France
Port De Propriano,France
Le Havre,France
Port D' Ajaccio,France
Ouistreham,France
Saint-Tropez,France
St Nazaire,France
Le Legue,France
Port-de-Bouc,France
Port-La-Nouvelle,France
Ambes,France
Boulogne-Sur-Mer,France
Cannes,France
Les Sables D' Olonne,France
Granville,France
Honfleur,France
Pauillac,France
Dunkerque Port Est,France
Treguier,France
Rade De Cherbourg,France
Baie Du Marigot,France
Port Du Havre-Antifer,France
Lorient,France
Port-Vendres,France
Rade De Brest,France
Paimpol,France
Degrad Des Cannes,French Guiana
Atuona,French Polynesia
Vaitape,French Polynesia
Baie Taiohae,French Polynesia
Port Rikitea,French Polynesia
Papeete,French Polynesia
Uturoa,French Polynesia
Port Owendo,Gabon
M'bya Oil Terminal,Gabon
Etame Terminal,Gabon
Port Gentil,Gabon
Cap Lopez,Gabon
Gamba Oil Terminal,Gabon
Olowi Marine Terminal,Gabon
Oguendjo Terminal,Gabon
Libreville,Gabon
Batumi,Georgia
Supsa Marine Terminal,Georgia
Sokhumi,Georgia
Itzehoe,Germany
Wilhelmshaven,Germany
Flensburg,Germany
Oldenburg,Germany
Wolgast,Germany
Cuxhaven,Germany
Hamburg,Germany
Stralsund,Germany
Lubeck,Germany
Lubeck-Travemunde,Germany
Orth,Germany
Bremerhaven,Germany
Sassnitz,Germany
Neustadt,Germany
Wismar,Germany
Busum,Germany
Eckernforde,Germany
Brake,Germany
Heiligenhafen,Germany
Elsfleth,Germany
Kiel,Germany
Nordenham,Germany
Papenburg,Germany
Emden,Germany
Brunsbuttel Elbahafen,Germany
Bremen,Germany
Brunsbuttel Canal Terminals,Germany
Neuhaus,Germany
Kappeln,Germany
Husum,Germany
Gluckstadt,Germany
Rendsburg,Germany
Butzfleth,Germany
Rostock,Germany
Leer,Germany
Sekondi,Ghana
Takoradi,Ghana
Saltpond,Ghana
Tema,Ghana
Europa Point,Gibraltar
Kavala,Greece
Mikonos,Greece
Vrakhonisis Kallonis,Greece
Kerkira,Greece
Kali Limenes,Greece
Tsingeli,Greece
Plomarion,Greece
Piraievs,Greece
Nisos Naxos,Greece
Rethimnon,Greece
Volos,Greece
Khios,Greece
Ayios Nikolaos,Greece
Limin Kos,Greece
Pilos,Greece
Pithagorion,Greece
Soudha,Greece
Lagos,Greece
Aigio,Greece
Kalimnos,Greece
Miliana,Greece
Akra Kavonisi,Greece
Mitilini,Greece
Larimna,Greece
Ayios Nikolaos,Greece
Neon Karlovas,Greece
Stratoni,Greece
Lakki,Greece
Limin Sirou,Greece
Porthmos Evripou,Greece
Kymassi,Greece
Lavrio,Greece
Andros,Greece
Mesolongion,Greece
Samos,Greece
Milos,Greece
Patrai,Greece
Astakos,Greece
Spetses,Greece
Kalamata,Greece
Ormos Aliveriou,Greece
Megara Oil Terminal,Greece
Sitia,Greece
Iraklion,Greece
Navplio,Greece
Katakolon,Greece
Itea,Greece
Argostolion,Greece
Yithion,Greece
Gavrio,Greece
Preveza,Greece
Yerakini,Greece
Alexandroupoli,Greece
Achladi,Greece
Stilis,Greece
Thessaloniki,Greece
Rodhos,Greece
Qeqertarsuaq,Greenland
Marmorilik,Greenland
Narsarssuaq,Greenland
Maniitsoq,Greenland
Soendre Stroemfjord,Greenland
Qaqortoq,Greenland
Pituffik,Greenland
Nanortalik Havn,Greenland
Sisimiut,Greenland
Paamuit,Greenland
Kajalleq Upernavik,Greenland
Faeringehavn,Greenland
Uummannaq,Greenland
Illulissat,Greenland
Kusanartoq,Greenland
Ammassalik,Greenland
Attu,Greenland
Nuuk,Greenland
Gronnedal,Greenland
Qasigiannguit-Christianshab,Greenland
Aasiaat,Greenland
Narsaq,Greenland
Qutdleq,Greenland
St George's,Grenada
Basse Terre,Guadeloupe
Port Louis,Guadeloupe
Gustavia,Guadeloupe
Pointe A Pitre,Guadeloupe
Apra Harbor,Guam
Santo Tomas De Castilla,Guatemala
Puerto Barrios,Guatemala
Puerto Quetzal,Guatemala
Saint Sampson,Guernsey
Saint Peter Port,Guernsey
Alderney Harbour,Guernsey
Benti,Guinea
Kamsar,Guinea
Conakry,Guinea
Victoria,Guinea
Rio Cacheu,Guinea-Bissau
Bissau,Guinea-Bissau
Georgetown,Guyana
Linden,Guyana
New Amsterdam,Guyana
Port Au Prince,Haiti
Petit Goave,Haiti
Cap Haitien,Haiti
Miragoane,Haiti
Jacmel,Haiti
Tela,Honduras
Puerto Este,Honduras
Puerto Cortes,Honduras
Puerto Castilla,Honduras
La Ceiba,Honduras
